Offset MPU6050
Tiempo total: 1002
Offset AcX = 1468.44 | Offset AcY = 16176.77 | Offset AcZ = 1541.17
Offset GiX = -258.83 | Offset GiY = -189.31 | Offset GiZ = 15.55
Resultados MPU6050
AcX = 1608.00 | AcY = 16176.00 | AcZ = 1648.00 | GiX = -189.00 | GiY = -275.00 | GiZ = -99.00 | Tiempo: 510
AcX = 1480.00 | AcY = 16196.00 | AcZ = 1588.00 | GiX = -253.00 | GiY = -278.00 | GiZ = -93.00 | Tiempo: 1005
AcX = 1432.00 | AcY = 16224.00 | AcZ = 1564.00 | GiX = -260.00 | GiY = -341.00 | GiZ = 46.00 | Tiempo: 1500
AcX = 1344.00 | AcY = 16336.00 | AcZ = 1456.00 | GiX = -313.00 | GiY = -302.00 | GiZ = 123.00 | Tiempo: 1995
AcX = 1304.00 | AcY = 16252.00 | AcZ = 1476.00 | GiX = -291.00 | GiY = -299.00 | GiZ = 139.00 | Tiempo: 2490
AcX = 1360.00 | AcY = 16324.00 | AcZ = 1596.00 | GiX = -268.00 | GiY = -148.00 | GiZ = 157.00 | Tiempo: 2985
AcX = 1440.00 | AcY = 16268.00 | AcZ = 1664.00 | GiX = -229.00 | GiY = -122.00 | GiZ = 127.00 | Tiempo: 3480
AcX = 1524.00 | AcY = 16248.00 | AcZ = 1632.00 | GiX = -197.00 | GiY = -113.00 | GiZ = 93.00 | Tiempo: 3975
AcX = 1396.00 | AcY = 16216.00 | AcZ = 1608.00 | GiX = -126.00 | GiY = -99.00 | GiZ = 54.00 | Tiempo: 4470
AcX = 1472.00 | AcY = 16128.00 | AcZ = 1668.00 | GiX = -144.00 | GiY = -172.00 | GiZ = 18.00 | Tiempo: 4965
AcX = 1468.00 | AcY = 16128.00 | AcZ = 1532.00 | GiX = -193.00 | GiY = -171.00 | GiZ = 80.00 | Tiempo: 5460
AcX = 1452.00 | AcY = 16116.00 | AcZ = 1608.00 | GiX = -258.00 | GiY = -124.00 | GiZ = 62.00 | Tiempo: 5955
AcX = 1452.00 | AcY = 16268.00 | AcZ = 1688.00 | GiX = -303.00 | GiY = -182.00 | GiZ = 65.00 | Tiempo: 6450
AcX = 1412.00 | AcY = 16180.00 | AcZ = 1672.00 | GiX = -270.00 | GiY = -176.00 | GiZ = 77.00 | Tiempo: 6945
AcX = 1480.00 | AcY = 16268.00 | AcZ = 1548.00 | GiX = -175.00 | GiY = -80.00 | GiZ = 48.00 | Tiempo: 7440
AcX = 1520.00 | AcY = 16260.00 | AcZ = 1572.00 | GiX = -168.00 | GiY = -73.00 | GiZ = -11.00 | Tiempo: 7935
