Offset MPU6050
Tiempo total: 1002
Offset AcX = 366.83 | Offset AcY = 4039.03 | Offset AcZ = 342.28
Offset GiX = -65.11 | Offset GiY = -37.98 | Offset GiZ = 5.20
Resultados MPU6050
AcX = 290.00 | AcY = 4058.00 | AcZ = 317.00 | GiX = -71.00 | GiY = 16.00 | GiZ = 2.00 | Tiempo: 21301
AcX = 366.00 | AcY = 4055.00 | AcZ = 353.00 | GiX = -70.00 | GiY = 53.00 | GiZ = 8.00 | Tiempo: 21796
AcX = 438.00 | AcY = 4052.00 | AcZ = 323.00 | GiX = -61.00 | GiY = 25.00 | GiZ = -6.00 | Tiempo: 22291
AcX = 438.00 | AcY = 4016.00 | AcZ = 357.00 | GiX = -37.00 | GiY = 2.00 | GiZ = -19.00 | Tiempo: 22786
AcX = 429.00 | AcY = 4015.00 | AcZ = 330.00 | GiX = -37.00 | GiY = -28.00 | GiZ = -39.00 | Tiempo: 23281
AcX = 392.00 | AcY = 4010.00 | AcZ = 306.00 | GiX = -38.00 | GiY = -43.00 | GiZ = -48.00 | Tiempo: 23776
AcX = 335.00 | AcY = 4026.00 | AcZ = 320.00 | GiX = -61.00 | GiY = -23.00 | GiZ = -44.00 | Tiempo: 24271
AcX = 350.00 | AcY = 4080.00 | AcZ = 311.00 | GiX = -67.00 | GiY = 13.00 | GiZ = -49.00 | Tiempo: 24766
AcX = 349.00 | AcY = 4085.00 | AcZ = 338.00 | GiX = -37.00 | GiY = 24.00 | GiZ = -48.00 | Tiempo: 25261
AcX = 348.00 | AcY = 4040.00 | AcZ = 318.00 | GiX = -21.00 | GiY = 17.00 | GiZ = -59.00 | Tiempo: 25756
AcX = 323.00 | AcY = 4019.00 | AcZ = 295.00 | GiX = -22.00 | GiY = 31.00 | GiZ = -39.00 | Tiempo: 26251
AcX = 340.00 | AcY = 4000.00 | AcZ = 320.00 | GiX = -53.00 | GiY = 59.00 | GiZ = -23.00 | Tiempo: 26746
AcX = 356.00 | AcY = 3998.00 | AcZ = 326.00 | GiX = -87.00 | GiY = 67.00 | GiZ = -10.00 | Tiempo: 27241
AcX = 380.00 | AcY = 4072.00 | AcZ = 298.00 | GiX = -104.00 | GiY = 68.00 | GiZ = -22.00 | Tiempo: 27736
AcX = 372.00 | AcY = 4064.00 | AcZ = 378.00 | GiX = -86.00 | GiY = 35.00 | GiZ = -25.00 | Tiempo: 28231
AcX = 327.00 | AcY = 4095.00 | AcZ = 285.00 | GiX = -65.00 | GiY = 46.00 | GiZ = -43.00 | Tiempo: 28726
AcX = 323.00 | AcY = 4093.00 | AcZ = 345.00 | GiX = -39.00 | GiY = 98.00 | GiZ = -31.00 | Tiempo: 29221
AcX = 311.00 | AcY = 4084.00 | AcZ = 290.00 | GiX = -31.00 | GiY = 117.00 | GiZ = -30.00 | Tiempo: 29716
AcX = 296.00 | AcY = 4070.00 | AcZ = 336.00 | GiX = -16.00 | GiY = 126.00 | GiZ = -11.00 | Tiempo: 30211
AcX = 313.00 | AcY = 4021.00 | AcZ = 250.00 | GiX = -16.00 | GiY = 176.00 | GiZ = 16.00 | Tiempo: 30706
AcX = 338.00 | AcY = 3985.00 | AcZ = 258.00 | GiX = -61.00 | GiY = 203.00 | GiZ = 3.00 | Tiempo: 31201
AcX = 340.00 | AcY = 4016.00 | AcZ = 333.00 | GiX = -73.00 | GiY = 179.00 | GiZ = -38.00 | Tiempo: 31696
AcX = 337.00 | AcY = 4038.00 | AcZ = 289.00 | GiX = -67.00 | GiY = 231.00 | GiZ = -52.00 | Tiempo: 32191
AcX = 338.00 | AcY = 4011.00 | AcZ = 276.00 | GiX = -50.00 | GiY = 253.00 | GiZ = -71.00 | Tiempo: 32686
AcX = 356.00 | AcY = 4025.00 | AcZ = 334.00 | GiX = -70.00 | GiY = 276.00 | GiZ = -81.00 | Tiempo: 33181
AcX = 326.00 | AcY = 4018.00 | AcZ = 357.00 | GiX = -64.00 | GiY = 308.00 | GiZ = -97.00 | Tiempo: 33676
AcX = 368.00 | AcY = 4053.00 | AcZ = 252.00 | GiX = -32.00 | GiY = 329.00 | GiZ = -98.00 | Tiempo: 34171
AcX = 340.00 | AcY = 4018.00 | AcZ = 295.00 | GiX = -40.00 | GiY = 287.00 | GiZ = -64.00 | Tiempo: 34666
AcX = 326.00 | AcY = 4003.00 | AcZ = 257.00 | GiX = -25.00 | GiY = 343.00 | GiZ = -62.00 | Tiempo: 35161
AcX = 389.00 | AcY = 3943.00 | AcZ = 289.00 | GiX = -36.00 | GiY = 371.00 | GiZ = -45.00 | Tiempo: 35656
AcX = 418.00 | AcY = 3945.00 | AcZ = 311.00 | GiX = -74.00 | GiY = 353.00 | GiZ = -13.00 | Tiempo: 36151
AcX = 455.00 | AcY = 3950.00 | AcZ = 331.00 | GiX = -99.00 | GiY = 348.00 | GiZ = -25.00 | Tiempo: 36646
AcX = 492.00 | AcY = 3937.00 | AcZ = 301.00 | GiX = -117.00 | GiY = 312.00 | GiZ = -45.00 | Tiempo: 37141
AcX = 469.00 | AcY = 3995.00 | AcZ = 337.00 | GiX = -136.00 | GiY = 271.00 | GiZ = -61.00 | Tiempo: 37636
AcX = 430.00 | AcY = 4021.00 | AcZ = 327.00 | GiX = -126.00 | GiY = 264.00 | GiZ = -69.00 | Tiempo: 38131
AcX = 391.00 | AcY = 4056.00 | AcZ = 295.00 | GiX = -131.00 | GiY = 288.00 | GiZ = -64.00 | Tiempo: 38626
AcX = 341.00 | AcY = 4066.00 | AcZ = 419.00 | GiX = -127.00 | GiY = 265.00 | GiZ = -54.00 | Tiempo: 39121
AcX = 391.00 | AcY = 4049.00 | AcZ = 330.00 | GiX = -84.00 | GiY = 350.00 | GiZ = -54.00 | Tiempo: 39616
AcX = 427.00 | AcY = 4023.00 | AcZ = 337.00 | GiX = -68.00 | GiY = 366.00 | GiZ = -86.00 | Tiempo: 40111
