Offset MPU6050
Tiempo total: 1001
Offset AcX = 895.13 | Offset AcY = 3961.74 | Offset AcZ = 247.57
Offset GiX = -307.53 | Offset GiY = 9.32 | Offset GiZ = 13.84
Resultados MPU6050
AcX = 857.00 | AcY = 3966.00 | AcZ = 261.00 | GiX = -399.00 | GiY = 54.00 | GiZ = 21.00 | Tiempo: 21300
AcX = 866.00 | AcY = 3939.00 | AcZ = 262.00 | GiX = -454.00 | GiY = 129.00 | GiZ = -10.00 | Tiempo: 21795
AcX = 875.00 | AcY = 3955.00 | AcZ = 252.00 | GiX = -450.00 | GiY = 150.00 | GiZ = -41.00 | Tiempo: 22290
AcX = 856.00 | AcY = 3958.00 | AcZ = 244.00 | GiX = -517.00 | GiY = 113.00 | GiZ = -72.00 | Tiempo: 22785
AcX = 845.00 | AcY = 3966.00 | AcZ = 235.00 | GiX = -496.00 | GiY = 146.00 | GiZ = -70.00 | Tiempo: 23280
AcX = 864.00 | AcY = 3982.00 | AcZ = 226.00 | GiX = -504.00 | GiY = 114.00 | GiZ = -89.00 | Tiempo: 23775
AcX = 861.00 | AcY = 3982.00 | AcZ = 274.00 | GiX = -441.00 | GiY = 125.00 | GiZ = -122.00 | Tiempo: 24270
AcX = 830.00 | AcY = 3961.00 | AcZ = 210.00 | GiX = -443.00 | GiY = 90.00 | GiZ = -152.00 | Tiempo: 24765
AcX = 835.00 | AcY = 3947.00 | AcZ = 242.00 | GiX = -446.00 | GiY = 244.00 | GiZ = -165.00 | Tiempo: 25260
AcX = 852.00 | AcY = 3960.00 | AcZ = 241.00 | GiX = -584.00 | GiY = 137.00 | GiZ = -131.00 | Tiempo: 25755
AcX = 858.00 | AcY = 3928.00 | AcZ = 223.00 | GiX = -576.00 | GiY = 146.00 | GiZ = -159.00 | Tiempo: 26250
AcX = 867.00 | AcY = 3937.00 | AcZ = 170.00 | GiX = -609.00 | GiY = 186.00 | GiZ = -195.00 | Tiempo: 26745
AcX = 851.00 | AcY = 3936.00 | AcZ = 160.00 | GiX = -566.00 | GiY = 269.00 | GiZ = -259.00 | Tiempo: 27240
AcX = 861.00 | AcY = 3949.00 | AcZ = 225.00 | GiX = -496.00 | GiY = 251.00 | GiZ = -292.00 | Tiempo: 27735
AcX = 867.00 | AcY = 3951.00 | AcZ = 201.00 | GiX = -493.00 | GiY = 193.00 | GiZ = -296.00 | Tiempo: 28230
AcX = 871.00 | AcY = 3950.00 | AcZ = 191.00 | GiX = -535.00 | GiY = 256.00 | GiZ = -374.00 | Tiempo: 28725
AcX = 890.00 | AcY = 3959.00 | AcZ = 173.00 | GiX = -538.00 | GiY = 287.00 | GiZ = -447.00 | Tiempo: 29220
AcX = 871.00 | AcY = 3956.00 | AcZ = 122.00 | GiX = -571.00 | GiY = 360.00 | GiZ = -467.00 | Tiempo: 29715
AcX = 833.00 | AcY = 3982.00 | AcZ = 133.00 | GiX = -626.00 | GiY = 380.00 | GiZ = -472.00 | Tiempo: 30210
AcX = 840.00 | AcY = 3978.00 | AcZ = 91.00 | GiX = -729.00 | GiY = 561.00 | GiZ = -526.00 | Tiempo: 30705
AcX = 863.00 | AcY = 4021.00 | AcZ = 92.00 | GiX = -758.00 | GiY = 683.00 | GiZ = -656.00 | Tiempo: 31200
AcX = 836.00 | AcY = 3986.00 | AcZ = 11.00 | GiX = -850.00 | GiY = 810.00 | GiZ = -703.00 | Tiempo: 31695
AcX = 840.00 | AcY = 3915.00 | AcZ = 75.00 | GiX = -941.00 | GiY = 894.00 | GiZ = -779.00 | Tiempo: 32190
AcX = 815.00 | AcY = 3904.00 | AcZ = -15.00 | GiX = -1085.00 | GiY = 979.00 | GiZ = -831.00 | Tiempo: 32685
AcX = 797.00 | AcY = 3884.00 | AcZ = -27.00 | GiX = -1183.00 | GiY = 1199.00 | GiZ = -850.00 | Tiempo: 33180
AcX = 784.00 | AcY = 3815.00 | AcZ = -61.00 | GiX = -1216.00 | GiY = 1265.00 | GiZ = -847.00 | Tiempo: 33675
AcX = 789.00 | AcY = 3753.00 | AcZ = -62.00 | GiX = -1386.00 | GiY = 1571.00 | GiZ = -1011.00 | Tiempo: 34170
AcX = 796.00 | AcY = 3773.00 | AcZ = -108.00 | GiX = -1589.00 | GiY = 1814.00 | GiZ = -1081.00 | Tiempo: 34665
AcX = 819.00 | AcY = 3779.00 | AcZ = -78.00 | GiX = -1782.00 | GiY = 2071.00 | GiZ = -1102.00 | Tiempo: 35160
AcX = 819.00 | AcY = 3778.00 | AcZ = -64.00 | GiX = -2099.00 | GiY = 2291.00 | GiZ = -1224.00 | Tiempo: 35655
AcX = 834.00 | AcY = 3784.00 | AcZ = -62.00 | GiX = -2407.00 | GiY = 2529.00 | GiZ = -1262.00 | Tiempo: 36150
AcX = 782.00 | AcY = 3789.00 | AcZ = -63.00 | GiX = -2655.00 | GiY = 2721.00 | GiZ = -1350.00 | Tiempo: 36645
AcX = 747.00 | AcY = 3798.00 | AcZ = -116.00 | GiX = -2977.00 | GiY = 3119.00 | GiZ = -1436.00 | Tiempo: 37140
AcX = 727.00 | AcY = 3807.00 | AcZ = -106.00 | GiX = -3246.00 | GiY = 3539.00 | GiZ = -1509.00 | Tiempo: 37635
AcX = 723.00 | AcY = 3782.00 | AcZ = -75.00 | GiX = -3449.00 | GiY = 3869.00 | GiZ = -1741.00 | Tiempo: 38130
AcX = 702.00 | AcY = 3842.00 | AcZ = -63.00 | GiX = -3633.00 | GiY = 4140.00 | GiZ = -1892.00 | Tiempo: 38625
AcX = 668.00 | AcY = 3847.00 | AcZ = -49.00 | GiX = -3735.00 | GiY = 4434.00 | GiZ = -1942.00 | Tiempo: 39120
AcX = 690.00 | AcY = 3880.00 | AcZ = -122.00 | GiX = -3863.00 | GiY = 4692.00 | GiZ = -1969.00 | Tiempo: 39615
AcX = 677.00 | AcY = 3824.00 | AcZ = 1.00 | GiX = -4047.00 | GiY = 4970.00 | GiZ = -2099.00 | Tiempo: 40110
AcX = 714.00 | AcY = 3791.00 | AcZ = 13.00 | GiX = -4218.00 | GiY = 5021.00 | GiZ = -2214.00 | Tiempo: 40605
AcX = 695.00 | AcY = 3783.00 | AcZ = -87.00 | GiX = -4443.00 | GiY = 5522.00 | GiZ = -2287.00 | Tiempo: 41100
AcX = 641.00 | AcY = 3723.00 | AcZ = 45.00 | GiX = -4627.00 | GiY = 5654.00 | GiZ = -2490.00 | Tiempo: 41595
AcX = 577.00 | AcY = 3680.00 | AcZ = -8.00 | GiX = -4833.00 | GiY = 6144.00 | GiZ = -2720.00 | Tiempo: 42090
AcX = 564.00 | AcY = 3676.00 | AcZ = 74.00 | GiX = -4969.00 | GiY = 6451.00 | GiZ = -2893.00 | Tiempo: 42585
AcX = 595.00 | AcY = 3703.00 | AcZ = 166.00 | GiX = -5195.00 | GiY = 6566.00 | GiZ = -2988.00 | Tiempo: 43080
AcX = 554.00 | AcY = 3662.00 | AcZ = 88.00 | GiX = -5326.00 | GiY = 6945.00 | GiZ = -3266.00 | Tiempo: 43575
AcX = 545.00 | AcY = 3699.00 | AcZ = 93.00 | GiX = -5575.00 | GiY = 7127.00 | GiZ = -3405.00 | Tiempo: 44070
AcX = 501.00 | AcY = 3664.00 | AcZ = 182.00 | GiX = -5860.00 | GiY = 7385.00 | GiZ = -3747.00 | Tiempo: 44565
AcX = 539.00 | AcY = 3702.00 | AcZ = 217.00 | GiX = -5941.00 | GiY = 7395.00 | GiZ = -3995.00 | Tiempo: 45060
AcX = 474.00 | AcY = 3676.00 | AcZ = 176.00 | GiX = -6021.00 | GiY = 7765.00 | GiZ = -4416.00 | Tiempo: 45555
AcX = 460.00 | AcY = 3617.00 | AcZ = 317.00 | GiX = -6150.00 | GiY = 7996.00 | GiZ = -4760.00 | Tiempo: 46050
AcX = 372.00 | AcY = 3638.00 | AcZ = 282.00 | GiX = -6340.00 | GiY = 8414.00 | GiZ = -5034.00 | Tiempo: 46545
AcX = 384.00 | AcY = 3607.00 | AcZ = 469.00 | GiX = -6569.00 | GiY = 8733.00 | GiZ = -5456.00 | Tiempo: 47040
