Offset MPU6050
Tiempo total: 1002
Offset AcX = -13.51 | Offset AcY = 2031.55 | Offset AcZ = 64.69
Offset GiX = -18.70 | Offset GiY = -8.49 | Offset GiZ = 23.50
Resultados MPU6050
AcX = -1.00 | AcY = 2038.00 | AcZ = 15.00 | GiX = -6.00 | GiY = 33.00 | GiZ = -83.00 | Tiempo: 21300
AcX = -15.00 | AcY = 2035.00 | AcZ = 1.00 | GiX = -5.00 | GiY = 37.00 | GiZ = -86.00 | Tiempo: 21795
AcX = -26.00 | AcY = 2045.00 | AcZ = -12.00 | GiX = -10.00 | GiY = 60.00 | GiZ = -83.00 | Tiempo: 22290
AcX = -1.00 | AcY = 2040.00 | AcZ = -23.00 | GiX = -17.00 | GiY = 74.00 | GiZ = -73.00 | Tiempo: 22785
AcX = -3.00 | AcY = 2047.00 | AcZ = 8.00 | GiX = -18.00 | GiY = 89.00 | GiZ = -71.00 | Tiempo: 23280
AcX = -10.00 | AcY = 2043.00 | AcZ = 9.00 | GiX = -29.00 | GiY = 90.00 | GiZ = -49.00 | Tiempo: 23775
AcX = -9.00 | AcY = 2028.00 | AcZ = 9.00 | GiX = -55.00 | GiY = 113.00 | GiZ = -6.00 | Tiempo: 24270
AcX = 54.00 | AcY = 2044.00 | AcZ = 34.00 | GiX = -102.00 | GiY = 145.00 | GiZ = 42.00 | Tiempo: 24765
AcX = 132.00 | AcY = 2065.00 | AcZ = 48.00 | GiX = -142.00 | GiY = 140.00 | GiZ = 80.00 | Tiempo: 25260
AcX = 161.00 | AcY = 2093.00 | AcZ = 45.00 | GiX = -164.00 | GiY = 132.00 | GiZ = 82.00 | Tiempo: 25755
AcX = 176.00 | AcY = 2149.00 | AcZ = 41.00 | GiX = -170.00 | GiY = 144.00 | GiZ = 68.00 | Tiempo: 26250
AcX = 202.00 | AcY = 2192.00 | AcZ = 61.00 | GiX = -154.00 | GiY = 162.00 | GiZ = 57.00 | Tiempo: 26745
AcX = 238.00 | AcY = 2205.00 | AcZ = 67.00 | GiX = -119.00 | GiY = 148.00 | GiZ = 58.00 | Tiempo: 27240
AcX = 217.00 | AcY = 2203.00 | AcZ = 69.00 | GiX = -90.00 | GiY = 111.00 | GiZ = 71.00 | Tiempo: 27735
AcX = 146.00 | AcY = 2196.00 | AcZ = 65.00 | GiX = -67.00 | GiY = 71.00 | GiZ = 87.00 | Tiempo: 28230
AcX = 35.00 | AcY = 2184.00 | AcZ = 37.00 | GiX = -46.00 | GiY = 66.00 | GiZ = 110.00 | Tiempo: 28725
AcX = -38.00 | AcY = 2179.00 | AcZ = 26.00 | GiX = -27.00 | GiY = 106.00 | GiZ = 125.00 | Tiempo: 29220
AcX = -51.00 | AcY = 2161.00 | AcZ = 35.00 | GiX = 3.00 | GiY = 178.00 | GiZ = 115.00 | Tiempo: 29715
AcX = 7.00 | AcY = 2119.00 | AcZ = 45.00 | GiX = 56.00 | GiY = 249.00 | GiZ = 77.00 | Tiempo: 30210
AcX = 49.00 | AcY = 2079.00 | AcZ = 75.00 | GiX = 100.00 | GiY = 266.00 | GiZ = 20.00 | Tiempo: 30705
AcX = 21.00 | AcY = 2051.00 | AcZ = 28.00 | GiX = 114.00 | GiY = 255.00 | GiZ = 23.00 | Tiempo: 31200
AcX = -9.00 | AcY = 1988.00 | AcZ = 24.00 | GiX = 120.00 | GiY = 287.00 | GiZ = 51.00 | Tiempo: 31695
AcX = -11.00 | AcY = 1947.00 | AcZ = -5.00 | GiX = 89.00 | GiY = 324.00 | GiZ = 96.00 | Tiempo: 32190
AcX = -19.00 | AcY = 1945.00 | AcZ = -26.00 | GiX = 58.00 | GiY = 384.00 | GiZ = 150.00 | Tiempo: 32685
AcX = 53.00 | AcY = 1928.00 | AcZ = -24.00 | GiX = 69.00 | GiY = 463.00 | GiZ = 162.00 | Tiempo: 33180
AcX = 105.00 | AcY = 1862.00 | AcZ = 18.00 | GiX = 69.00 | GiY = 512.00 | GiZ = 170.00 | Tiempo: 33675
AcX = 185.00 | AcY = 1817.00 | AcZ = 36.00 | GiX = 29.00 | GiY = 539.00 | GiZ = 168.00 | Tiempo: 34170
AcX = 226.00 | AcY = 1853.00 | AcZ = 100.00 | GiX = -31.00 | GiY = 510.00 | GiZ = 131.00 | Tiempo: 34665
AcX = 149.00 | AcY = 1970.00 | AcZ = 153.00 | GiX = -75.00 | GiY = 444.00 | GiZ = 95.00 | Tiempo: 35160
