---- Opened the serial port COM7 ----
Offset MPU6050
Tiempo total: 1002
Offset AcX = 1195.31 | Offset AcY = 3883.34 | Offset AcZ = 256.59
Offset GiX = -91.78 | Offset GiY = -64.30 | Offset GiZ = -4.98
Resultados MPU6050
AcX = 1208.00 | AcY = 3895.00 | AcZ = 221.00 | GiX = -98.00 | GiY = -56.00 | GiZ = 69.00 | Tiempo: 20805
AcX = 1203.00 | AcY = 3872.00 | AcZ = 247.00 | GiX = -141.00 | GiY = -96.00 | GiZ = 38.00 | Tiempo: 21300
AcX = 1214.00 | AcY = 3864.00 | AcZ = 236.00 | GiX = -176.00 | GiY = -95.00 | GiZ = 32.00 | Tiempo: 21795
AcX = 1211.00 | AcY = 3855.00 | AcZ = 225.00 | GiX = -210.00 | GiY = -99.00 | GiZ = 14.00 | Tiempo: 22290
AcX = 1231.00 | AcY = 3875.00 | AcZ = 201.00 | GiX = -192.00 | GiY = -110.00 | GiZ = 31.00 | Tiempo: 22785
AcX = 1233.00 | AcY = 3875.00 | AcZ = 246.00 | GiX = -145.00 | GiY = -129.00 | GiZ = 26.00 | Tiempo: 23280
AcX = 1231.00 | AcY = 3861.00 | AcZ = 218.00 | GiX = -137.00 | GiY = -176.00 | GiZ = 44.00 | Tiempo: 23775
AcX = 1223.00 | AcY = 3872.00 | AcZ = 272.00 | GiX = -149.00 | GiY = -198.00 | GiZ = 32.00 | Tiempo: 24270
AcX = 1218.00 | AcY = 3875.00 | AcZ = 230.00 | GiX = -187.00 | GiY = -160.00 | GiZ = 25.00 | Tiempo: 24765
AcX = 1235.00 | AcY = 3870.00 | AcZ = 277.00 | GiX = -181.00 | GiY = -168.00 | GiZ = 19.00 | Tiempo: 25260
AcX = 1228.00 | AcY = 3890.00 | AcZ = 264.00 | GiX = -175.00 | GiY = -213.00 | GiZ = 13.00 | Tiempo: 25755
AcX = 1227.00 | AcY = 3868.00 | AcZ = 266.00 | GiX = -200.00 | GiY = -205.00 | GiZ = 5.00 | Tiempo: 26250
AcX = 1220.00 | AcY = 3881.00 | AcZ = 234.00 | GiX = -194.00 | GiY = -234.00 | GiZ = 0.00 | Tiempo: 26745
AcX = 1236.00 | AcY = 3880.00 | AcZ = 258.00 | GiX = -177.00 | GiY = -272.00 | GiZ = -11.00 | Tiempo: 27240
AcX = 1255.00 | AcY = 3897.00 | AcZ = 240.00 | GiX = -177.00 | GiY = -298.00 | GiZ = -11.00 | Tiempo: 27735
AcX = 1223.00 | AcY = 3899.00 | AcZ = 265.00 | GiX = -195.00 | GiY = -331.00 | GiZ = 2.00 | Tiempo: 28230
AcX = 1222.00 | AcY = 3880.00 | AcZ = 245.00 | GiX = -183.00 | GiY = -332.00 | GiZ = -5.00 | Tiempo: 28725
AcX = 1232.00 | AcY = 3879.00 | AcZ = 257.00 | GiX = -203.00 | GiY = -324.00 | GiZ = 35.00 | Tiempo: 29220
AcX = 1224.00 | AcY = 3874.00 | AcZ = 232.00 | GiX = -189.00 | GiY = -324.00 | GiZ = 17.00 | Tiempo: 29715
AcX = 1231.00 | AcY = 3844.00 | AcZ = 266.00 | GiX = -181.00 | GiY = -337.00 | GiZ = -39.00 | Tiempo: 30210
