Offset MPU6050
Tiempo total: 1215 (2000 muestras)
Offset AcX = 4108.95 | Offset AcY = -113.78 | Offset AcZ = 419.72
Offset GiX = -140.25 | Offset GiY = -93.30 | Offset GiZ = -0.74
Resultados MPU6050
AcX = 4121.00 | AcY = -111.00 | AcZ = 415.00 | GiX = -133.00 | GiY = -93.00 | GiZ = 2.00 | Tiempo: 25712
AcX = 4107.00 | AcY = -122.00 | AcZ = 436.00 | GiX = -143.00 | GiY = -111.00 | GiZ = -5.00 | Tiempo: 26310
AcX = 4110.00 | AcY = -118.00 | AcZ = 420.00 | GiX = -145.00 | GiY = -84.00 | GiZ = 2.00 | Tiempo: 26908
AcX = 4118.00 | AcY = -116.00 | AcZ = 402.00 | GiX = -148.00 | GiY = -95.00 | GiZ = 3.00 | Tiempo: 27506
AcX = 4101.00 | AcY = -113.00 | AcZ = 426.00 | GiX = -138.00 | GiY = -98.00 | GiZ = -2.00 | Tiempo: 28104
AcX = 4109.00 | AcY = -109.00 | AcZ = 418.00 | GiX = -148.00 | GiY = -108.00 | GiZ = -2.00 | Tiempo: 28702
AcX = 4118.00 | AcY = -103.00 | AcZ = 421.00 | GiX = -138.00 | GiY = -80.00 | GiZ = 5.00 | Tiempo: 29300
AcX = 4105.00 | AcY = -120.00 | AcZ = 415.00 | GiX = -150.00 | GiY = -105.00 | GiZ = 8.00 | Tiempo: 29898
AcX = 4116.00 | AcY = -116.00 | AcZ = 417.00 | GiX = -140.00 | GiY = -93.00 | GiZ = -6.00 | Tiempo: 30496
AcX = 4109.00 | AcY = -130.00 | AcZ = 432.00 | GiX = -119.00 | GiY = -99.00 | GiZ = -6.00 | Tiempo: 31094
AcX = 4107.00 | AcY = -109.00 | AcZ = 416.00 | GiX = -152.00 | GiY = -89.00 | GiZ = -2.00 | Tiempo: 31692
AcX = 4090.00 | AcY = -103.00 | AcZ = 411.00 | GiX = -148.00 | GiY = -94.00 | GiZ = -7.00 | Tiempo: 32290
AcX = 4113.00 | AcY = -108.00 | AcZ = 438.00 | GiX = -152.00 | GiY = -90.00 | GiZ = -7.00 | Tiempo: 32888
AcX = 4119.00 | AcY = -105.00 | AcZ = 406.00 | GiX = -150.00 | GiY = -90.00 | GiZ = -1.00 | Tiempo: 33486
AcX = 4108.00 | AcY = -99.00 | AcZ = 422.00 | GiX = -140.00 | GiY = -87.00 | GiZ = 2.00 | Tiempo: 34084
AcX = 4105.00 | AcY = -123.00 | AcZ = 418.00 | GiX = -155.00 | GiY = -112.00 | GiZ = 0.00 | Tiempo: 34682
AcX = 4129.00 | AcY = -106.00 | AcZ = 453.00 | GiX = -129.00 | GiY = -95.00 | GiZ = -5.00 | Tiempo: 35280
AcX = 4104.00 | AcY = -122.00 | AcZ = 441.00 | GiX = -141.00 | GiY = -85.00 | GiZ = -1.00 | Tiempo: 35878
AcX = 4112.00 | AcY = -100.00 | AcZ = 436.00 | GiX = -152.00 | GiY = -101.00 | GiZ = -14.00 | Tiempo: 36476
AcX = 4102.00 | AcY = -119.00 | AcZ = 389.00 | GiX = -139.00 | GiY = -116.00 | GiZ = -1.00 | Tiempo: 37074
AcX = 4114.00 | AcY = -117.00 | AcZ = 437.00 | GiX = -139.00 | GiY = -91.00 | GiZ = -12.00 | Tiempo: 37672
AcX = 4123.00 | AcY = -114.00 | AcZ = 411.00 | GiX = -133.00 | GiY = -91.00 | GiZ = -2.00 | Tiempo: 38270
AcX = 4123.00 | AcY = -113.00 | AcZ = 450.00 | GiX = -155.00 | GiY = -95.00 | GiZ = 14.00 | Tiempo: 38868
AcX = 4120.00 | AcY = -114.00 | AcZ = 427.00 | GiX = -143.00 | GiY = -98.00 | GiZ = -4.00 | Tiempo: 39466
AcX = 4127.00 | AcY = -93.00 | AcZ = 403.00 | GiX = -139.00 | GiY = -106.00 | GiZ = -7.00 | Tiempo: 40064
AcX = 4104.00 | AcY = -129.00 | AcZ = 422.00 | GiX = -133.00 | GiY = -99.00 | GiZ = 7.00 | Tiempo: 40662
AcX = 4110.00 | AcY = -98.00 | AcZ = 443.00 | GiX = -148.00 | GiY = -90.00 | GiZ = -4.00 | Tiempo: 41260
AcX = 4101.00 | AcY = -116.00 | AcZ = 385.00 | GiX = -140.00 | GiY = -73.00 | GiZ = -1.00 | Tiempo: 41858
AcX = 4105.00 | AcY = -103.00 | AcZ = 438.00 | GiX = -141.00 | GiY = -85.00 | GiZ = -2.00 | Tiempo: 42456
AcX = 4114.00 | AcY = -116.00 | AcZ = 410.00 | GiX = -137.00 | GiY = -106.00 | GiZ = -11.00 | Tiempo: 43054
AcX = 4100.00 | AcY = -121.00 | AcZ = 424.00 | GiX = -141.00 | GiY = -108.00 | GiZ = 1.00 | Tiempo: 43652
AcX = 4104.00 | AcY = -121.00 | AcZ = 405.00 | GiX = -131.00 | GiY = -96.00 | GiZ = 14.00 | Tiempo: 44250
AcX = 4112.00 | AcY = -128.00 | AcZ = 425.00 | GiX = -130.00 | GiY = -91.00 | GiZ = 2.00 | Tiempo: 44848
