Offset MPU6050
Tiempo total: 823 (500 muestras)
Offset AcX = 16300.28 | Offset AcY = 116.62 | Offset AcZ = -65.02
Offset GiX = -267.88 | Offset GiY = -183.02 | Offset GiZ = -0.45
Resultados MPU6050
AcX = 16460.00 | AcY = 144.00 | AcZ = -172.00 | GiX = -276.00 | GiY = -178.00 | GiZ = -15.00 | Tiempo: 70697
AcX = 16444.00 | AcY = 104.00 | AcZ = 4.00 | GiX = -251.00 | GiY = -180.00 | GiZ = -11.00 | Tiempo: 72341
AcX = 16408.00 | AcY = 80.00 | AcZ = -64.00 | GiX = -280.00 | GiY = -177.00 | GiZ = 15.00 | Tiempo: 73985
AcX = 16444.00 | AcY = 96.00 | AcZ = -52.00 | GiX = -275.00 | GiY = -204.00 | GiZ = -9.00 | Tiempo: 75629
AcX = 16376.00 | AcY = 88.00 | AcZ = -140.00 | GiX = -274.00 | GiY = -165.00 | GiZ = -7.00 | Tiempo: 77273
AcX = 16456.00 | AcY = 132.00 | AcZ = -40.00 | GiX = -262.00 | GiY = -220.00 | GiZ = -2.00 | Tiempo: 78917
AcX = 16456.00 | AcY = 60.00 | AcZ = -100.00 | GiX = -300.00 | GiY = -172.00 | GiZ = 5.00 | Tiempo: 80561
AcX = 16484.00 | AcY = 120.00 | AcZ = -144.00 | GiX = -269.00 | GiY = -187.00 | GiZ = 9.00 | Tiempo: 82205
AcX = 16448.00 | AcY = 156.00 | AcZ = -80.00 | GiX = -272.00 | GiY = -157.00 | GiZ = 3.00 | Tiempo: 83849
AcX = 16444.00 | AcY = 92.00 | AcZ = -24.00 | GiX = -284.00 | GiY = -206.00 | GiZ = -2.00 | Tiempo: 85493
AcX = 16460.00 | AcY = 84.00 | AcZ = -80.00 | GiX = -279.00 | GiY = -153.00 | GiZ = 19.00 | Tiempo: 87137
AcX = 16420.00 | AcY = 120.00 | AcZ = -124.00 | GiX = -244.00 | GiY = -207.00 | GiZ = 13.00 | Tiempo: 88781
AcX = 16484.00 | AcY = 108.00 | AcZ = -56.00 | GiX = -287.00 | GiY = -159.00 | GiZ = -4.00 | Tiempo: 90425
AcX = 16504.00 | AcY = 108.00 | AcZ = -232.00 | GiX = -260.00 | GiY = -217.00 | GiZ = 4.00 | Tiempo: 92069
AcX = 16356.00 | AcY = 92.00 | AcZ = -20.00 | GiX = -307.00 | GiY = -159.00 | GiZ = -1.00 | Tiempo: 93713
AcX = 16416.00 | AcY = 116.00 | AcZ = -12.00 | GiX = -268.00 | GiY = -200.00 | GiZ = 5.00 | Tiempo: 95357
AcX = 16436.00 | AcY = 92.00 | AcZ = 16.00 | GiX = -287.00 | GiY = -178.00 | GiZ = 4.00 | Tiempo: 97001
AcX = 16388.00 | AcY = 132.00 | AcZ = -224.00 | GiX = -264.00 | GiY = -195.00 | GiZ = -20.00 | Tiempo: 98645
AcX = 16440.00 | AcY = 80.00 | AcZ = -44.00 | GiX = -275.00 | GiY = -154.00 | GiZ = -6.00 | Tiempo: 100289
AcX = 16456.00 | AcY = 84.00 | AcZ = -104.00 | GiX = -259.00 | GiY = -187.00 | GiZ = 24.00 | Tiempo: 101933
AcX = 16436.00 | AcY = 120.00 | AcZ = -40.00 | GiX = -267.00 | GiY = -226.00 | GiZ = 14.00 | Tiempo: 103577
AcX = 16480.00 | AcY = 120.00 | AcZ = -104.00 | GiX = -295.00 | GiY = -167.00 | GiZ = -17.00 | Tiempo: 105221
AcX = 16380.00 | AcY = 128.00 | AcZ = -72.00 | GiX = -284.00 | GiY = -171.00 | GiZ = -6.00 | Tiempo: 106865
AcX = 16424.00 | AcY = 80.00 | AcZ = -72.00 | GiX = -236.00 | GiY = -161.00 | GiZ = 4.00 | Tiempo: 108509
AcX = 16384.00 | AcY = -4.00 | AcZ = -16.00 | GiX = -286.00 | GiY = -206.00 | GiZ = 25.00 | Tiempo: 110153
AcX = 16340.00 | AcY = 136.00 | AcZ = -56.00 | GiX = -237.00 | GiY = -177.00 | GiZ = 24.00 | Tiempo: 111797
AcX = 16416.00 | AcY = 160.00 | AcZ = 24.00 | GiX = -249.00 | GiY = -223.00 | GiZ = -11.00 | Tiempo: 113441
AcX = 16444.00 | AcY = 104.00 | AcZ = -76.00 | GiX = -256.00 | GiY = -168.00 | GiZ = 12.00 | Tiempo: 115085
AcX = 16496.00 | AcY = 252.00 | AcZ = -116.00 | GiX = -278.00 | GiY = -192.00 | GiZ = -3.00 | Tiempo: 116729
AcX = 16404.00 | AcY = 136.00 | AcZ = -172.00 | GiX = -292.00 | GiY = -159.00 | GiZ = -11.00 | Tiempo: 118373
AcX = 16424.00 | AcY = 144.00 | AcZ = -56.00 | GiX = -241.00 | GiY = -176.00 | GiZ = -21.00 | Tiempo: 120017
AcX = 16460.00 | AcY = 132.00 | AcZ = -124.00 | GiX = -245.00 | GiY = -201.00 | GiZ = 32.00 | Tiempo: 121661
AcX = 16396.00 | AcY = 124.00 | AcZ = -228.00 | GiX = -254.00 | GiY = -163.00 | GiZ = 8.00 | Tiempo: 123305
AcX = 16380.00 | AcY = 92.00 | AcZ = -40.00 | GiX = -268.00 | GiY = -185.00 | GiZ = -23.00 | Tiempo: 124949
AcX = 16412.00 | AcY = 108.00 | AcZ = -32.00 | GiX = -245.00 | GiY = -188.00 | GiZ = -8.00 | Tiempo: 126593
AcX = 16380.00 | AcY = 140.00 | AcZ = -4.00 | GiX = -266.00 | GiY = -217.00 | GiZ = -8.00 | Tiempo: 128237
AcX = 16364.00 | AcY = 52.00 | AcZ = -80.00 | GiX = -271.00 | GiY = -204.00 | GiZ = 22.00 | Tiempo: 129881
AcX = 16432.00 | AcY = 144.00 | AcZ = 20.00 | GiX = -278.00 | GiY = -174.00 | GiZ = 29.00 | Tiempo: 131525
AcX = 16484.00 | AcY = 116.00 | AcZ = -188.00 | GiX = -293.00 | GiY = -170.00 | GiZ = 1.00 | Tiempo: 133169
AcX = 16408.00 | AcY = 144.00 | AcZ = -40.00 | GiX = -271.00 | GiY = -174.00 | GiZ = -8.00 | Tiempo: 134813
AcX = 16408.00 | AcY = 144.00 | AcZ = -24.00 | GiX = -284.00 | GiY = -176.00 | GiZ = 14.00 | Tiempo: 136457
AcX = 16436.00 | AcY = 132.00 | AcZ = -84.00 | GiX = -300.00 | GiY = -178.00 | GiZ = 15.00 | Tiempo: 138101
AcX = 16460.00 | AcY = 144.00 | AcZ = -76.00 | GiX = -256.00 | GiY = -182.00 | GiZ = 8.00 | Tiempo: 139745
AcX = 16440.00 | AcY = 76.00 | AcZ = 28.00 | GiX = -278.00 | GiY = -159.00 | GiZ = -3.00 | Tiempo: 141389
AcX = 16440.00 | AcY = 80.00 | AcZ = -56.00 | GiX = -296.00 | GiY = -182.00 | GiZ = -28.00 | Tiempo: 143033
AcX = 16380.00 | AcY = 144.00 | AcZ = -72.00 | GiX = -264.00 | GiY = -152.00 | GiZ = 9.00 | Tiempo: 144677
AcX = 16460.00 | AcY = 168.00 | AcZ = 88.00 | GiX = -298.00 | GiY = -212.00 | GiZ = -11.00 | Tiempo: 146321
AcX = 16444.00 | AcY = 80.00 | AcZ = -60.00 | GiX = -284.00 | GiY = -171.00 | GiZ = -19.00 | Tiempo: 147965
AcX = 16440.00 | AcY = 128.00 | AcZ = -40.00 | GiX = -258.00 | GiY = -224.00 | GiZ = 2.00 | Tiempo: 149609
AcX = 16408.00 | AcY = 108.00 | AcZ = -120.00 | GiX = -260.00 | GiY = -202.00 | GiZ = 22.00 | Tiempo: 151253
AcX = 16372.00 | AcY = 148.00 | AcZ = -72.00 | GiX = -284.00 | GiY = -144.00 | GiZ = -8.00 | Tiempo: 152897
AcX = 16364.00 | AcY = 76.00 | AcZ = -76.00 | GiX = -248.00 | GiY = -157.00 | GiZ = 12.00 | Tiempo: 154541
AcX = 16432.00 | AcY = 148.00 | AcZ = -80.00 | GiX = -268.00 | GiY = -174.00 | GiZ = 12.00 | Tiempo: 156185
AcX = 16420.00 | AcY = 124.00 | AcZ = -164.00 | GiX = -269.00 | GiY = -215.00 | GiZ = 9.00 | Tiempo: 157829
AcX = 16432.00 | AcY = 108.00 | AcZ = -80.00 | GiX = -277.00 | GiY = -171.00 | GiZ = -4.00 | Tiempo: 159473
AcX = 16488.00 | AcY = 176.00 | AcZ = 4.00 | GiX = -240.00 | GiY = -179.00 | GiZ = -20.00 | Tiempo: 161117
AcX = 16420.00 | AcY = 116.00 | AcZ = -168.00 | GiX = -254.00 | GiY = -154.00 | GiZ = 4.00 | Tiempo: 162761
AcX = 16412.00 | AcY = 104.00 | AcZ = -52.00 | GiX = -253.00 | GiY = -199.00 | GiZ = 1.00 | Tiempo: 164405
AcX = 16392.00 | AcY = 56.00 | AcZ = -64.00 | GiX = -247.00 | GiY = -167.00 | GiZ = 45.00 | Tiempo: 166049
AcX = 16424.00 | AcY = 104.00 | AcZ = 8.00 | GiX = -255.00 | GiY = -241.00 | GiZ = -13.00 | Tiempo: 167693
AcX = 16404.00 | AcY = 168.00 | AcZ = -72.00 | GiX = -283.00 | GiY = -184.00 | GiZ = -14.00 | Tiempo: 169337
AcX = 16416.00 | AcY = 100.00 | AcZ = -80.00 | GiX = -267.00 | GiY = -173.00 | GiZ = 10.00 | Tiempo: 170981
AcX = 16364.00 | AcY = 124.00 | AcZ = 108.00 | GiX = -253.00 | GiY = -156.00 | GiZ = -6.00 | Tiempo: 172625
AcX = 16392.00 | AcY = 136.00 | AcZ = -108.00 | GiX = -266.00 | GiY = -182.00 | GiZ = -30.00 | Tiempo: 174269
AcX = 16436.00 | AcY = 40.00 | AcZ = -56.00 | GiX = -244.00 | GiY = -200.00 | GiZ = 13.00 | Tiempo: 175913
AcX = 16444.00 | AcY = 52.00 | AcZ = -152.00 | GiX = -284.00 | GiY = -187.00 | GiZ = -1.00 | Tiempo: 177557
AcX = 16448.00 | AcY = 16.00 | AcZ = 16.00 | GiX = -302.00 | GiY = -181.00 | GiZ = -6.00 | Tiempo: 179201
